Country,Last ,Previous ,Reference, Unit
United States,25440,23315,Dec/22,USD Billion
China,17963,17820,Dec/22,USD Billion
Euro Area,14136,14686,Dec/22,USD Billion
Japan,4232,5006,Dec/22,USD Billion
Germany,4082,4278,Dec/22,USD Billion
India,3417,3150,Dec/22,USD Billion
United Kingdom,3089,3142,Dec/22,USD Billion
France,2779,2959,Dec/22,USD Billion
Russia,2240,1837,Dec/22,USD Billion
Canada,2138,2001,Dec/22,USD Billion
Italy,2050,2155,Dec/22,USD Billion
Brazil,1920,1650,Dec/22,USD Billion
Australia,1693,1559,Dec/22,USD Billion
South Korea,1674,1818,Dec/22,USD Billion
Mexico,1466,1313,Dec/22,USD Billion
Spain,1418,1446,Dec/22,USD Billion
Indonesia,1319,1187,Dec/22,USD Billion
Saudi Arabia,1109,874,Dec/22,USD Billion
Netherlands,1009,1030,Dec/22,USD Billion
Turkey,907,820,Dec/22,USD Billion
Switzerland,818,813,Dec/22,USD Billion
Argentina,631,488,Dec/22,USD Billion
Singapore,467,424,Dec/22,USD Billion
South Africa,405,420,Dec/22,USD Billion
