Country,Last ,Previous ,Reference, Unit
Afghanistan,7.4,6.13,Dec/20,%
Albania,59.2,64.5,Dec/23,%
Algeria,55.1,55.6,Dec/23,%
Angola,60.5,50.7,Dec/23,%
Argentina,85.2,80.6,Dec/22,%
Armenia,49.27,60.25,Dec/22,%
Australia,22.3,28.6,Dec/22,%
Austria,77.8,78.4,Dec/23,%
Azerbaijan,21.9,11.7,Dec/23,%
Bahamas,82.1,87,Dec/23,%
Bahrain,121,118,Dec/23,%
Bangladesh,28.2,29.2,Dec/22,%
Belarus,32.8,37.3,Dec/21,%
Belgium,105,104,Dec/23,%
Belize,46.2,53.7,Dec/22,%
Benin,52.8,50.3,Dec/22,%
Bhutan,123,127,Dec/23,%
Bolivia,80.8,80,Dec/23,%
Bosnia and Herzegovina,17.1,20.8,Dec/23,%
Botswana,26.1,25,Dec/22,%
Brazil,72.87,78.29,Dec/22,%
Brunei,2.1,2.5,Dec/22,%
Bulgaria,20.6,20.6,Mar/24,%
Burkina Faso,61.2,58.3,Dec/23,%
Burundi,14.5,16.8,Dec/22,%
Cambodia,35.3,34.8,Dec/23,%
Cameroon,46.4,46.8,Dec/22,%
Canada,107,113,Dec/22,%
Cape Verde,127,157,Dec/22,%
Cayman Islands,8.9,4.4,Dec/22,%
Central African Republic,50.7,47.6,Dec/22,%
Chad,48.8,57.4,Dec/22,%
Chile,38,36.3,Dec/22,%
China,77.1,71.8,Dec/22,%
Colombia,63.6,64,Dec/22,%
Comoros,31.6,31.1,Dec/22,%
Congo,13.3,14.5,Dec/23,%
Costa Rica,82.36,78.64,Dec/22,%
Croatia,63.5,68.2,Dec/23,%
Cuba,119,117,Dec/22,%
Cyprus,77.3,85.6,Dec/23,%
Czech Republic,44,44.2,Dec/23,%
Denmark,29.3,29.8,Dec/23,%
Djibouti,47,43.2,Dec/22,%
Dominican Republic,58.56,62.63,Dec/22,%
Ecuador,56,58.6,Dec/22,%
Egypt,95.8,87.2,Dec/23,%
El Salvador,78.03,82.69,Dec/22,%
Equatorial Guinea,27.1,42.6,Dec/22,%
Eritrea,164,175,Dec/22,%
Estonia,19.6,18.5,Dec/23,%
Ethiopia,38,46,Dec/23,%
Euro Area,88.6,90.8,Dec/23,%
European Union,81.7,83.4,Dec/23,%
Fiji,75.6,91.1,Dec/23,%
Finland,75.8,73.5,Dec/23,%
France,111,112,Dec/23,%
Gabon,55.1,65.8,Dec/22,%
Gambia,80.8,82.9,Dec/22,%
Georgia,39.8,41.3,Dec/23,%
Germany,63.6,66.1,Dec/23,%
Ghana,84.9,92.4,Dec/23,%
Greece,162,173,Dec/23,%
Guatemala,27.45,29.95,Dec/22,%
Guinea,35.5,40.4,Dec/22,%
Guinea Bissau,41.1,37.8,Dec/22,%
Guyana,27.8,43.2,Dec/22,%
Haiti,25,24.2,Dec/22,%
Honduras,48.06,51.46,Dec/22,%
Hungary,73.5,74.1,Dec/23,%
Iceland,68.9,75.3,Dec/22,%
India,86.54,85.21,Dec/22,%
Indonesia,39.9,41.1,Dec/22,%
Iran,30.6,34.1,Dec/23,%
Iraq,49.2,44.9,Dec/23,%
Ireland,43.7,44.4,Dec/23,%
Israel,60.7,67.9,Dec/22,%
Italy,137,140,Dec/23,%
Ivory Coast,56,52.1,Dec/22,%
Jamaica,86.2,92.3,Dec/22,%
Japan,264,262,Dec/22,%
Jordan,89.4,85.4,Dec/21,%
Kazakhstan,22.8,24.4,Dec/23,%
Kenya,70.1,66.7,Dec/23,%
Kosovo,19.95,21.53,Dec/22,%
Kuwait,3.4,3.1,Dec/23,%
Kyrgyzstan,63.3,60.3,Dec/22,%
Laos,68.01,53.81,Dec/22,%
Latvia,43.6,41.8,Dec/23,%
Lebanon,283,350,Dec/22,%
Lesotho,59.9,57.6,Dec/22,%
Liberia,51,51.3,Dec/23,%
Libya,83,155,Dec/21,%
Lithuania,38.3,38.1,Dec/23,%
Luxembourg,25.7,24.7,Dec/23,%
Macedonia,50,51,Dec/23,%
Madagascar,38.2,36.2,Dec/22,%
Malawi,66.7,60.1,Dec/22,%
Malaysia,60.4,63.4,Dec/22,%
Maldives,54.2,58.9,Dec/23,%
