Country,Last ,Previous ,Reference, Unit
Japan,0.1,0.1,Jun/24,%
Switzerland,1.5,1.5,May/24,%
Singapore,3.42,3.53,Apr/24,%
China,3.45,3.45,May/24,%
South Korea,3.5,3.5,May/24,%
Euro Area,4.25,4.5,Jun/24,%
Australia,4.35,4.35,May/24,%
Canada,4.75,5,Jun/24,%
United Kingdom,5.25,5.25,May/24,%
United States,5.5,5.5,Jun/24,%
Saudi Arabia,6,6,Apr/24,%
Indonesia,6.25,6.25,May/24,%
India,6.5,6.5,Jun/24,%
South Africa,8.25,8.25,May/24,%
Brazil,10.5,10.75,May/24,%
Mexico,11,11,May/24,%
Russia,16,16,Jun/24,%
Argentina,40,50,May/24,%
Turkey,50,50,May/24,%
