Country,Last,Previous,Reference,Unit
United States,27721,26007,,
China,17795,17882,,
Euro Area,15781,14452,,
Germany,4526,4164,,
Japan,4204,4256,,
India,3568,3353,,
United Kingdom,3381,3114,,
France,3052,2796,,
Italy,2301,2103,,
Brazil,2174,1952,,
Canada,2142,2161,,
Russia,2021,2266,,
Mexico,1789,1464,,
Australia,1728,1691,,
South Korea,1713,1674,,
Spain,1620,1446,,
Indonesia,1371,1319,,
Netherlands,1154,1047,,
Turkey,1118,907,,
Saudi Arabia,1068,1109,,
Switzerland,885,818,,
Argentina,646,633,,
Singapore,501,498,,
South Africa,381,407,,
