"LOCATION","Country","VARIABLE","Variable","SCENARIO","Scenario","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2020","2020",399.922,,
"AUS","Australia","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2023","2023",412.875796578279,,
"AUS","Australia","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2030","2030",403.9357,,
"AUS","Australia","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2040","2040",381.5399,,
"AUS","Australia","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2050","2050",352.9751,,
"AUS","Australia","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2060","2060",317.8033,,
"AUS","Australia","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2020","2020",101974.712283309,,
"AUS","Australia","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2023","2023",103199.305220658,,
"AUS","Australia","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2030","2030",108226.1,,
"AUS","Australia","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2040","2040",123976.2,,
"AUS","Australia","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2050","2050",146088.6,,
"AUS","Australia","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2060","2060",172650.4,,
"AUS","Australia","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2020","2020",67.7727426720705,,
"AUS","Australia","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2023","2023",69.1854845888049,,
"AUS","Australia","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2030","2030",70.8700482883183,,
"AUS","Australia","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2040","2040",72.9551472408115,,
"AUS","Australia","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2050","2050",73.3305690323678,,
"AUS","Australia","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2060","2060",72.4119213917616,,
"AUS","Australia","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2020","2020",12880736.4995578,,
"AUS","Australia","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2023","2023",13586933.2780813,,
"AUS","Australia","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2030","2030",15475862.8864647,,
"AUS","Australia","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2040","2040",17715667.0838142,,
"AUS","Australia","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2050","2050",19582872.700159,,
"AUS","Australia","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2060","2060",21047529.2956698,,
"AUS","Australia","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2020","2020",0.68960640009839,,
"AUS","Australia","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2023","2023",0.660922224482871,,
"AUS","Australia","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2030","2030",0.6219115,,
"AUS","Australia","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2040","2040",0.6010769,,
"AUS","Australia","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2050","2050",0.5844293,,
"AUS","Australia","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2060","2060",0.5674651,,
"AUS","Australia","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2020","2020",-3.2492034711776,,
"AUS","Australia","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2023","2023",0.550862389912465,,
"AUS","Australia","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2030","2030",-0.0633829,,
"AUS","Australia","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2040","2040",-0.0000791417,,
"AUS","Australia","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2050","2050",0,,
"AUS","Australia","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2060","2060",0,,
"AUS","Australia","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2020","2020",1972898000000,,
"AUS","Australia","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2023","2023",2586662065091.1,,
"AUS","Australia","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2030","2030",3640242000000,,
"AUS","Australia","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2040","2040",6047929000000,,
"AUS","Australia","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2050","2050",10034200000000,,
"AUS","Australia","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2060","2060",16353630000000,,
"AUS","Australia","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2020","2020",2019213999999.99,,
"AUS","Australia","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2023","2023",2244281076424.01,,
"AUS","Australia","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2030","2030",2647889000000,,
"AUS","Australia","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2040","2040",3438022000000,,
"AUS","Australia","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2050","2050",4456011000000,,
"AUS","Australia","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2060","2060",5673345000000,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",1202792223571.83,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",1336858711474.97,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",1577256000000,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",2047911000000,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",2654292000000,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",3379415000000,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",46882.7970661746,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",50475.7139182801,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",53431.59,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",61568.66,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",71993.19,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",83874.8,,
