Country,Last,Previous,Reference,Unit
Singapore,2.1,1.9,,
Mexico,2.2,2.5,,
Russia,2.3,2.4,,
Japan,2.5,2.4,,
Switzerland,2.8,2.9,,
South Korea,2.9,2.7,,
Saudi Arabia,3.5,3.7,,
Netherlands,3.9,3.8,,
Australia,4.1,4.0,,
United States,4.2,4.2,,
United Kingdom,4.4,4.4,,
Indonesia,4.76,4.91,,
China,5.2,5.4,,
Italy,6.0,5.9,,
Euro Area,6.2,6.2,,
Germany,6.3,6.3,,
Argentina,6.4,6.9,,
Canada,6.7,6.6,,
Brazil,7.0,6.8,,
France,7.3,7.4,,
India,7.9,8.2,,
Turkey,7.9,8.2,,
Spain,11.36,10.61,,
South Africa,31.9,32.1,,
