Country,Last ,Previous ,Reference, Unit
Argentina,276,292,May/24,%
Australia,3.6,4.1,Mar/24,%
Brazil,3.93,3.69,May/24,%
Canada,2.7,2.9,Apr/24,%
China,0.3,0.3,May/24,%
Euro Area,2.6,2.4,May/24,%
France,2.3,2.2,May/24,%
Germany,2.4,2.2,May/24,%
India,4.75,4.83,May/24,%
Indonesia,2.84,3,May/24,%
Italy,0.8,0.8,May/24,%
Japan,2.5,2.7,Apr/24,%
Mexico,4.69,4.65,May/24,%
Netherlands,2.7,2.7,May/24,%
Russia,7.8,7.7,Apr/24,%
Saudi Arabia,1.6,1.6,Apr/24,%
Singapore,2.7,2.7,Apr/24,%
South Africa,5.2,5.3,Apr/24,%
South Korea,2.7,2.9,May/24,%
Spain,3.6,3.3,May/24,%
Switzerland,1.4,1.4,May/24,%
Turkey,75.45,69.8,May/24,%
United Kingdom,2.3,3.2,Apr/24,%
United States,3.3,3.4,May/24,%
