Country,Last,Previous,Reference,Unit
Afghanistan,10.9,11.5,,
Albania,54.7,57.5,,
Algeria,55.1,55.6,,
Angola,60.5,50.7,,
Argentina,83.2,157.0,,
Armenia,48.1,49.27,,
Australia,43.8,42.8,,
Austria,81.8,77.8,,
Azerbaijan,21.9,11.7,,
Bahamas,81.5,82.1,,
Bahrain,121.0,118.0,,
Bangladesh,31.7,29.5,,
Belarus,24.0,33.0,,
Belgium,105.0,103.0,,
Belize,66.8,67.1,,
Benin,53.0,54.2,,
Bhutan,108.0,115.0,,
Bolivia,80.8,80.0,,
Bosnia and Herzegovina,16.9,17.8,,
Botswana,22.0,20.7,,
Brazil,84.68,83.94,,
Brunei,2.3,2.1,,
Bulgaria,22.3,22.2,,
Burkina Faso,61.2,58.3,,
Burundi,15.9,14.5,,
Cambodia,35.3,34.8,,
Cameroon,41.9,45.3,,
Canada,108.0,107.0,,
Cape Verde,115.0,127.0,,
Cayman Islands,7.6,9.2,,
Central African Republic,55.7,54.2,,
Chad,35.1,48.8,,
Chile,41.7,39.4,,
China,83.4,77.4,,
Colombia,54.3,60.1,,
Comoros,28.4,31.6,,
Congo,13.3,14.5,,
Costa Rica,61.12,62.99,,
Croatia,57.7,61.8,,
Cuba,119.0,117.0,,
Cyprus,65.0,73.6,,
Czech Republic,43.6,42.5,,
Denmark,29.3,29.8,,
Djibouti,45.0,47.0,,
Dominican Republic,60.02,59.55,,
Ecuador,55.4,57.0,,
Egypt,95.8,87.2,,
El Salvador,61.13,59.38,,
Equatorial Guinea,42.4,34.6,,
Eritrea,164.0,175.0,,
Estonia,23.6,20.2,,
Ethiopia,38.0,46.0,,
Euro Area,87.4,87.3,,
European Union,81.0,80.8,,
Fiji,75.6,91.1,,
Finland,81.7,77.2,,
France,113.0,110.0,,
Gabon,70.5,63.6,,
Gambia,75.1,82.8,,
Georgia,39.8,41.3,,
Germany,62.5,62.9,,
Ghana,70.5,76.4,,
Greece,162.0,173.0,,
Guatemala,27.2,29.01,,
Guinea,42.4,36.8,,
Guinea Bissau,35.3,41.1,,
Guyana,26.4,26.5,,
Haiti,14.0,28.5,,
Honduras,39.8,44.95,,
Hong Kong,9.3,6.3,,
Hungary,73.5,73.0,,
Iceland,59.1,62.0,,
India,81.59,82.49,,
Indonesia,38.8,39.2,,
Iran,30.6,34.1,,
Iraq,49.2,44.9,,
Ireland,40.9,43.3,,
Israel,69.0,61.3,,
Italy,135.0,135.0,,
Ivory Coast,35.9,34.4,,
Jamaica,67.9,73.3,,
Japan,255.0,260.0,,
Jordan,89.2,88.6,,
Kazakhstan,22.8,24.4,,
Kenya,70.1,66.7,,
Kosovo,17.52,20.04,,
Kuwait,3.4,3.1,,
Kyrgyzstan,25.9,31.1,,
Laos,74.15,69.74,,
Latvia,46.8,44.6,,
Lebanon,195.0,255.0,,
Lesotho,59.0,59.9,,
Liberia,51.0,51.3,,
Lithuania,38.2,37.3,,
Luxembourg,25.7,24.7,,
Macedonia,53.8,49.8,,
Madagascar,40.4,37.3,,
Malawi,81.3,68.7,,
Malaysia,69.8,61.1,,
Maldives,54.2,58.9,,
Malta,47.4,47.9,,
Mauritania,42.5,43.8,,
Mauritius,78.6,81.8,,
Mexico,49.7,53.1,,
Moldova,34.6,34.5,,
Mongolia,40.0,48.0,,
Montenegro,60.3,70.8,,
Morocco,69.7,71.6,,
Mozambique,93.9,101.0,,
Myanmar,59.6,62.5,,
Namibia,65.3,63.9,,
Nepal,42.7,40.7,,
Netherlands,43.3,45.2,,
New Zealand,39.3,35.4,,
Nicaragua,41.7,44.6,,
Niger,50.0,51.2,,
Nigeria,38.8,38.0,,
Norway,55.1,44.5,,
Oman,36.5,40.9,,
Pakistan,80.0,91.0,,
Palestine,21.7,18.5,,
Panama,52.39,53.68,,
Papua New Guinea,52.0,49.8,,
Paraguay,41.2,40.5,,
Peru,33.0,34.0,,
Philippines,60.1,60.9,,
Poland,55.3,49.5,,
Portugal,94.9,97.7,,
Qatar,43.3,42.6,,
Republic of the Congo,96.46,99.57,,
Romania,48.8,47.5,,
Russia,16.4,16.7,,
Rwanda,62.1,61.1,,
Sao Tome and Principe,103.0,105.0,,
Saudi Arabia,26.3,23.8,,
Senegal,56.1,53.9,,
Serbia,47.2,48.0,,
Seychelles,60.0,69.0,,
Sierra Leone,88.9,95.8,,
Singapore,171.0,157.0,,
Slovakia,59.3,55.6,,
Slovenia,67.0,68.4,,
South Africa,72.2,72.8,,
South Korea,46.8,45.5,,
Spain,102.0,105.0,,
Sri Lanka,96.1,105.0,,
Sudan,256.0,186.0,,
Suriname,82.9,90.3,,
Swaziland,18.91,19.06,,
Sweden,33.5,31.6,,
Switzerland,37.9,38.8,,
Tajikistan,30.9,34.6,,
Tanzania,46.9,44.9,,
Thailand,61.9,60.9,,
Togo,25.7,25.4,,
Trinidad and Tobago,56.1,50.7,,
Tunisia,79.8,83.0,,
Turkey,24.7,29.3,,
Turkmenistan,4.7,8.0,,
Uganda,48.6,45.5,,
Ukraine,84.4,78.4,,
United Arab Emirates,32.4,32.0,,
United Kingdom,95.9,95.5,,
United States,122.0,122.0,,
Uruguay,70.3,69.2,,
Uzbekistan,37.9,36.4,,
Venezuela,146.0,161.0,,
Vietnam,33.5,37.1,,
Yemen,66.4,66.0,,
Zambia,73.4,56.4,,
Zimbabwe,87.0,92.6,,
