Country,Last,Previous,Reference,Unit
Argentina,55.9,66.9,,
Australia,2.4,2.4,,
Brazil,5.48,5.06,,
Canada,2.3,2.6,,
China,-0.1,-0.7,,
Euro Area,2.2,2.2,,
France,0.8,0.8,,
Germany,2.1,2.2,,
India,3.34,3.61,,
Indonesia,1.95,1.03,,
Italy,2.0,1.9,,
Japan,3.6,3.7,,
Mexico,3.93,3.8,,
Netherlands,4.1,3.7,,
Russia,10.3,10.1,,
Saudi Arabia,2.3,2.0,,
Singapore,0.9,0.9,,
South Africa,2.7,3.2,,
South Korea,2.1,2.1,,
Spain,2.2,2.3,,
Switzerland,0.0,0.3,,
Turkey,37.86,38.1,,
United Kingdom,2.6,2.8,,
United States,2.4,2.8,,
