"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W21","29-May-22",3.03670342611239,,
"AUS","Australia","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W21","29-May-22",11.7818220324419,,
"AUS","Australia","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",2.60178691170448,,
"AUS","Australia","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W21","29-May-22",3.60139440467859,,
"AUS","Australia","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",9.70727462272898,,
"AUS","Australia","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W21","29-May-22",14.4358656166606,,
"AUT","Austria","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W21","29-May-22",5.45651454162482,,
"AUT","Austria","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W21","29-May-22",12.3164121768251,,
"AUT","Austria","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",3.65133904909224,,
"AUT","Austria","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W21","29-May-22",7.23511003054478,,
"AUT","Austria","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",9.63519324338771,,
"AUT","Austria","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W21","29-May-22",15.9266065974993,,
"BEL","Belgium","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W21","29-May-22",3.8878745169253,,
"BEL","Belgium","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W21","29-May-22",17.4351926719641,,
"BEL","Belgium","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",2.57879395261913,,
"BEL","Belgium","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W21","29-May-22",5.12729597825638,,
"BEL","Belgium","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",15.7258667599215,,
"BEL","Belgium","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W21","29-May-22",19.0356324701262,,
"CAN","Canada","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W21","29-May-22",5.04193644241969,,
"CAN","Canada","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W21","29-May-22",15.8580812171635,,
"CAN","Canada","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",4.07336309780461,,
"CAN","Canada","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W21","29-May-22",5.80039693010445,,
"CAN","Canada","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W21","29-May-22",14.5038576112074,,
"CAN","Canada","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W21","29-May-22",18.878256471811,,
"CZE","Czechia","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W21","29-May-22",3.81085502581713,,
"CZE","Czechia","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W21","29-May-22",11.2394012714485,,
